subject,native_lang,age,gender,trial,story,reaction_time,response_a,response_b,response_c,response_d,report_a,report_b,report_c,tag_a,tag_b,tag_c,exhaustive_seen,mention_one_high_seen,mention_one_low_seen,mention_some_high_seen,mention_some_low_seen,false_report_seen,none_of_above_seen,exhaustive_chosen,mention_one_high_chosen,mention_one_low_chosen,mention_some_high_chosen,mention_some_low_chosen,false_report_chosen,none_of_above_chosen
A3KTUKOVGWE9CF,english,27,female,consent,NA,44870,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A3KTUKOVGWE9CF,english,27,female,train,train_m,13974,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A3KTUKOVGWE9CF,english,27,female,train,train_f,42782,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A3KTUKOVGWE9CF,english,27,female,low,low_la,40349,1,0,0,0,Diner B.,Diner C.,Diners C and F.,f,mo-h,ms-h,0,1,0,1,0,1,1,0,0,0,0,0,1,0
A3KTUKOVGWE9CF,english,27,female,high,high_operative,4413,1,0,0,0,The West district.,The Northeast district.,The North district.,f,mo-h,mo-l,0,1,1,0,0,1,1,0,0,0,0,0,1,0
A3KTUKOVGWE9CF,english,27,female,low,low_pic,9205,0,1,0,0,Locations D and F.,Location B.,Location F.,ms-l,f,mo-l,0,0,1,0,1,1,1,0,0,0,0,0,1,0
A3KTUKOVGWE9CF,english,27,female,control,control_when,2799,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,0,1,0,1,1,1,0,0,0,0,0,1,0
A3KTUKOVGWE9CF,english,27,female,high,high_fbi,4286,0,0,1,0,"Places F, A, B, C and E.",Place F.,Places B and E.,exh,mo-h,ms-l,1,1,0,0,1,0,1,0,0,0,0,1,0,0
A3KTUKOVGWE9CF,english,27,female,low,low_yoga,3608,0,1,0,0,Studio F.,Studio B.,Studios C and B.,mo-h,mo-l,ms-l,0,1,1,0,1,0,1,0,0,1,0,0,0,0
A3KTUKOVGWE9CF,english,27,female,control,control_why,2197,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,1,1,0,1,0,1,0,0,1,0,0,0,0
A3KTUKOVGWE9CF,english,27,female,high,high_firefighter,7733,0,0,1,0,The fifth floor.,The fourth and sixth floors.,The fifth and second floors.,mo-h,ms-l,ms-h,0,1,0,1,1,0,1,0,0,0,1,0,0,0
A3KTUKOVGWE9CF,english,27,female,low,low_brother,2942,0,1,0,0,"Stalls C, D, A, F and B.",Stall C.,Stalls A and B.,exh,mo-h,ms-l,1,1,0,0,1,0,1,0,1,0,0,0,0,0
A3KTUKOVGWE9CF,english,27,female,high,high_terrorism,4358,0,0,1,0,Store E.,Store F.,Store C.,mo-h,mo-l,f,0,1,1,0,0,1,1,0,0,0,0,0,1,0
A3KTUKOVGWE9CF,english,27,female,control,control_how,6626,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,1,1,0,0,0,0,0,1,0
A3KTUKOVGWE9CF,english,27,female,low,low_coffee,4630,0,1,0,0,Cafe A.,Cafes E and B.,"Cafes E, B, F, C and D.",f,ms-h,exh,1,0,0,1,0,1,1,0,0,0,1,0,0,0
A3KTUKOVGWE9CF,english,27,female,high,high_inspector,2493,0,1,0,0,Restaurant E.,Restaurants A and B.,Restaurant F.,mo-l,ms-h,f,0,0,1,1,0,1,1,0,0,0,1,0,0,0
A3KTUKOVGWE9CF,english,27,female,control,control_what,8866,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,0,1,1,0,1,1,0,0,0,1,0,0,0
A3KTUKOVGWE9CF,english,27,female,exit_quest,NA,125893,yes,yes,good thing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A3BS3RZIWQMB9G,English ,42,male,consent,NA,30087,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A3BS3RZIWQMB9G,English ,42,male,train,train_f,36323,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A3BS3RZIWQMB9G,English ,42,male,train,train_m,28745,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A3BS3RZIWQMB9G,English ,42,male,low,low_coffee,42161,1,0,0,0,"Cafes E, B, F, C and D.",Cafe E.,Cafe D.,exh,mo-h,mo-l,1,1,1,0,0,0,1,1,0,0,0,0,0,0
A3BS3RZIWQMB9G,English ,42,male,high,high_inspector,50168,1,0,0,0,Restaurants C and E.,Restaurants A and B.,Restaurant E.,ms-l,ms-h,mo-l,0,0,1,1,1,0,1,0,0,0,0,1,0,0
