subject,age,gender,list,trial,primer,report,where,rejection,reactiontime,,
3,32,female,green,art,sure,nr,where,1,"('_REACTION_TIME_', '26372')",,
4,31,male,green,art,sure,nr,where,1,"('_REACTION_TIME_', '25470')",,
25,32,female,green,art,sure,nr,where,1,"('_REACTION_TIME_', '25000')",,
26,52,male,green,art,sure,nr,where,1,"('_REACTION_TIME_', '23172')",,
12,29,male,teal,art,sure,r,where,1,"('_REACTION_TIME_', '16329')",,
13,59,female,teal,art,sure,r,where,1,"('_REACTION_TIME_', '43352')",,
14,30,male,teal,art,sure,r,where,1,"('_REACTION_TIME_', '19329')",,
15,29,male,yellow,art,sure,r,where,1,"('_REACTION_TIME_', '16329')",,
16,59,female,yellow,art,sure,r,where,1,"('_REACTION_TIME_', '43352')",,
17,30,male,yellow,art,sure,r,where,1,"('_REACTION_TIME_', '19329')",,
5,234,male,red,art,think,nr,where,1,"('_REACTION_TIME_', '2967')",,
6,27,male,red,art,think,nr,where,1,"('_REACTION_TIME_', '13732')",,
18,75,male,yellow,art,think,r,where,1,"('_REACTION_TIME_', '51684')",,
19,69,female,yellow,art,think,r,where,1,"('_REACTION_TIME_', '195537')",,
20,75,male,yellow,art,think,r,where,1,"('_REACTION_TIME_', '51684')",,
21,69,female,yellow,art,think,r,where,1,"('_REACTION_TIME_', '195537')",,
22,75,male,yellow,art,think,r,where,1,"('_REACTION_TIME_', '53547')",,
23,63,female,yellow,art,think,r,where,1,"('_REACTION_TIME_', '49045')",,
1,33,female,blue,art,unsure,nr,where,1,"('_REACTION_TIME_', '24280')",,
2,33,male,blue,art,unsure,nr,where,1,"('_REACTION_TIME_', '344582')",,
24,31,female,blue,art,unsure,nr,where,1,"('_REACTION_TIME_', '19527')",,
7,26,female,purple,art,unsure,r,where,1,"('_REACTION_TIME_', '30822')",,
8,25,female,purple,art,unsure,r,where,1,"('_REACTION_TIME_', '60329')",,
11,23,female,purple,art,unsure,r,where,1,"('_REACTION_TIME_', '27120')",,
5,234,male,red,flowers,sure,nr,where,1,"('_REACTION_TIME_', '2575')",,
6,27,male,red,flowers,sure,nr,where,1,"('_REACTION_TIME_', '31968')",,
18,75,male,yellow,flowers,sure,r,where,1,"('_REACTION_TIME_', '33747')",,
19,69,female,yellow,flowers,sure,r,where,1,"('_REACTION_TIME_', '34303')",,
20,75,male,yellow,flowers,sure,r,where,1,"('_REACTION_TIME_', '33747')",,
21,69,female,yellow,flowers,sure,r,where,1,"('_REACTION_TIME_', '34303')",,
22,75,male,yellow,flowers,sure,r,where,1,"('_REACTION_TIME_', '30427')",,
23,63,female,yellow,flowers,sure,r,where,1,"('_REACTION_TIME_', '34390')",,
1,33,female,blue,flowers,think,nr,where,1,"('_REACTION_TIME_', '24255')",,
2,33,male,blue,flowers,think,nr,where,1,"('_REACTION_TIME_', '6778')",,
24,31,female,blue,flowers,think,nr,where,1,"('_REACTION_TIME_', '24869')",,
7,26,female,purple,flowers,think,r,where,1,"('_REACTION_TIME_', '16700')",,
8,25,female,purple,flowers,think,r,where,1,"('_REACTION_TIME_', '28464')",,
9,45,female,purple,flowers,think,r,where,1,"('_REACTION_TIME_', '31353')",,
10,29,male,purple,flowers,think,r,where,1,"('_REACTION_TIME_', '44282')",,
11,23,female,purple,flowers,think,r,where,1,"('_REACTION_TIME_', '25353')",,
3,32,female,green,flowers,unsure,nr,where,1,"('_REACTION_TIME_', '43131')",,
4,31,male,green,flowers,unsure,nr,where,1,"('_REACTION_TIME_', '21691')",,
25,32,female,green,flowers,unsure,nr,where,1,"('_REACTION_TIME_', '14580')",,
26,52,male,green,flowers,unsure,nr,where,1,"('_REACTION_TIME_', '37462')",,
12,29,male,teal,flowers,unsure,r,where,1,"('_REACTION_TIME_', '37720')",,
13,59,female,teal,flowers,unsure,r,where,1,"('_REACTION_TIME_', '47710')",,
14,30,male,teal,flowers,unsure,r,where,1,"('_REACTION_TIME_', '31653')",,
15,29,male,yellow,flowers,unsure,r,where,1,"('_REACTION_TIME_', '37720')",,
16,59,female,yellow,flowers,unsure,r,where,1,"('_REACTION_TIME_', '47710')",,
17,30,male,yellow,flowers,unsure,r,where,1,"('_REACTION_TIME_', '31653')",,
7,26,female,purple,food,sure,nr,where,1,"('_REACTION_TIME_', '16244')",,
8,25,female,purple,food,sure,nr,where,1,"('_REACTION_TIME_', '28793')",,
9,45,female,purple,food,sure,nr,where,1,"('_REACTION_TIME_', '30923')",,
10,29,male,purple,food,sure,nr,where,1,"('_REACTION_TIME_', '13596')",,
11,23,female,purple,food,sure,nr,where,1,"('_REACTION_TIME_', '26224')",,
5,234,male,red,food,sure,r,where,1,"('_REACTION_TIME_', '4428')",,
6,27,male,red,food,sure,r,where,1,"('_REACTION_TIME_', '28958')",,
12,29,male,teal,food,think,nr,where,1,"('_REACTION_TIME_', '29856')",,
13,59,female,teal,food,think,nr,where,1,"('_REACTION_TIME_', '45225')",,
14,30,male,teal,food,think,nr,where,1,"('_REACTION_TIME_', '30216')",,
15,29,male,yellow,food,think,nr,where,1,"('_REACTION_TIME_', '29856')",,
16,59,female,yellow,food,think,nr,where,1,"('_REACTION_TIME_', '45225')",,
17,30,male,yellow,food,think,nr,where,1,"('_REACTION_TIME_', '30216')",,
19,69,female,yellow,food,unsure,nr,where,1,"('_REACTION_TIME_', '42330')",,
21,69,female,yellow,food,unsure,nr,where,1,"('_REACTION_TIME_', '42330')",,
22,75,male,yellow,food,unsure,nr,where,1,"('_REACTION_TIME_', '39187')",,
