subject,native_lang,trial,story,tense,tag_a,tag_b,tag_c,exhaustive_seen,mention_one_high_seen,mention_one_low_seen,mention_some_high_seen,mention_some_low_seen,false_report_seen,none_of_above_seen,exhaustive_chosen,mention_one_high_chosen,mention_one_low_chosen,mention_some_high_chosen,mention_some_low_chosen,false_report_chosen,none_of_above_chosen
A2MM10557W7PLD,english,test,test_coffee,past,ms-l,ms-h,mo-l,0,0,1,1,1,0,1,0,0,1,0,0,0,0
A3FFZN4FO3Q789,english,test,test_shoes,past,ms-h,mo-l,ms-l,0,0,1,1,1,0,1,0,0,1,0,0,0,0
A1XGI8153WBWFQ,Albanian,test,test_dentist,past,ms-l,mo-l,fa,0,0,1,0,1,0,1,0,0,1,0,0,0,0
A1XGI8153WBWFQ,Albanian,test,test_books,past,ms-h,mo-l,mo-h,0,1,1,1,0,0,1,0,0,1,0,0,0,0
A14NSVH4W27CK0,english,test,test_dentist,past,exh,fa,mo-l,1,0,1,0,0,0,1,0,0,1,0,0,0,0
A34B9FXOCN08RW,english,test,test_dentist,past,fa,ms-l,mo-l,0,0,1,0,1,0,1,0,0,1,0,0,0,0
A34B9FXOCN08RW,english,test,test_books,past,ms-h,ms-l,mo-l,0,0,1,1,1,0,1,0,0,1,1,1,0,0
A34B9FXOCN08RW,english,test,test_shoes,past,ms-h,mo-l,ms-l,0,0,1,1,1,0,1,0,0,1,1,1,0,0
A34B9FXOCN08RW,english,test,test_hair,past,ms-l,mo-l,ms-h,0,0,1,1,1,0,1,0,0,1,1,1,0,0
A1YIBSKY9U31X6,English,test,test_coffee,past,mo-l,mo-h,exh,1,1,1,0,0,0,1,1,1,1,0,0,0,0
A25FNSFSB048DL,English,test,test_coffee,past,ms-h,fa,mo-l,0,0,1,1,0,0,1,0,0,1,1,0,0,0
A3QSJY1FFN0N6V,English,test,test_coffee,past,exh,ms-h,mo-l,1,0,1,1,0,0,1,1,0,1,1,0,0,0
A3QSJY1FFN0N6V,English,test,test_dentist,past,ms-h,fa,mo-l,0,0,1,1,0,0,1,0,0,1,1,0,0,0
A3QSJY1FFN0N6V,English,test,test_books,past,ms-h,mo-l,mo-h,0,1,1,1,0,0,1,0,1,1,1,0,0,0
A3QSJY1FFN0N6V,English,test,test_shoes,past,ms-h,mo-h,mo-l,0,1,1,1,0,0,1,0,1,1,1,0,0,0
A1UKAS30R0MFI6,english,test,test_yarn,past,mo-l,exh,ms-l,1,0,1,0,1,0,1,1,0,1,0,1,0,0
A1UKAS30R0MFI6,english,test,test_books,past,mo-l,fa,ms-l,0,0,1,0,1,0,1,0,0,1,0,1,0,0
A1UKAS30R0MFI6,english,test,test_shoes,past,exh,mo-l,ms-h,1,0,1,1,0,0,1,1,0,1,1,0,0,0
A1UKAS30R0MFI6,english,test,test_hair,past,ms-l,ms-h,mo-l,0,0,1,1,1,0,1,0,0,1,1,1,0,0
