"","subject","native_lang","age","gender","trial","story","reaction_time","response_a","response_b","response_c","response_d","report_a","report_b","report_c","tag_a","tag_b","tag_c","exhaustive_seen","mention_one_high_seen","mention_one_low_seen","mention_some_high_seen","mention_some_low_seen","false_report_seen","none_of_above_seen","exhaustive_chosen","mention_one_high_chosen","mention_one_low_chosen","mention_some_high_chosen","mention_some_low_chosen","false_report_chosen","none_of_above_chosen"
"4","A1LOUZD99NZCT2","english",29,"male","high","high_inspector",3397,"0","1","1",0,"Restaurants A and B.","Restaurant E.","Restaurants A, B, C, D, and E.","ms-h","mo-l","exh",1,0,1,1,0,0,1,1,0,1,0,0,0,0
"5","A1LOUZD99NZCT2","english",29,"male","low","low_brother",1717,"1","0","0",0,"Stall C.","Stalls C and D.","Stalls A and B.","mo-h","ms-h","ms-l",0,1,0,1,1,0,1,0,1,0,0,0,0,0
"7","A1LOUZD99NZCT2","english",29,"male","high","high_fbi",1945,"0","0","1",0,"Place D.","Places F and A.","Place E.","f","ms-h","mo-l",0,0,1,1,0,1,1,0,0,1,0,0,0,0
"8","A1LOUZD99NZCT2","english",29,"male","low","low_yoga",1945,"1","0","1",0,"Studios F, E, D, C and B.","Studios C and B.","Studio F.","exh","ms-l","mo-h",1,1,0,0,1,0,1,1,1,0,0,0,0,0
"10","A1LOUZD99NZCT2","english",29,"male","high","high_firefighter",2238,"0","0","1",0,"The fourth and sixth floors.","The fifth and second floors.","The fifth, second, fourth, third and sixth floors.","ms-l","ms-h","exh",1,0,0,1,1,0,1,1,0,0,0,0,0,0
"11","A1LOUZD99NZCT2","english",29,"male","low","low_pic",3260,"1","1","0",0,"Locations A and D.","Location A.","Location F.","ms-h","mo-h","mo-l",0,1,1,1,0,0,1,0,1,0,1,0,0,0
"12","A1LOUZD99NZCT2","english",29,"male","high","high_terrorism",2193,"0","0","1",0,"Store F.","Stores A and F.","Store E.","mo-l","ms-l","mo-h",0,1,1,0,1,0,1,0,1,0,0,0,0,0
"14","A1LOUZD99NZCT2","english",29,"male","low","low_coffee",3982,"1","0","1",0,"Cafes E, B, F, C and D.","Cafe E.","Cafes F and D.","exh","mo-h","ms-l",1,1,0,0,1,0,1,1,0,0,0,1,0,0
"15","A1LOUZD99NZCT2","english",29,"male","high","high_operative",2136,"0","1","1",0,"The Northeast district.","The Northeast and Southwest districts.","The South and North districts.","mo-h","ms-h","ms-l",0,1,0,1,1,0,1,0,0,0,1,1,0,0
"16","A1LOUZD99NZCT2","english",29,"male","low","low_la",3598,"0","0","0",1,"Diner C.","Diners A and E.","Diner E.","mo-h","ms-l","mo-l",0,1,1,0,1,0,1,0,0,0,0,0,0,1
"22","A2YVC1U50H2B4R","English",29,"female","low","low_la",23638,"1","0","0",0,"Diners C and F.","Diners A and E.","Diner C.","ms-h","ms-l","mo-h",0,1,0,1,1,0,1,0,0,0,1,0,0,0
"23","A2YVC1U50H2B4R","English",29,"female","high","high_inspector",29257,"0","0","0",1,"Restaurant E.","Restaurants A, B, C, D, and E.","Restaurants C and E.","mo-l","exh","ms-l",1,0,1,0,1,0,1,0,0,0,0,0,0,1
"24","A2YVC1U50H2B4R","English",29,"female","low","low_yoga",6987,"0","1","0",0,"Studios C and B.","Studios F and E.","Studios F, E, D, C and B.","ms-l","ms-h","exh",1,0,0,1,1,0,1,0,0,0,1,0,0,0
"26","A2YVC1U50H2B4R","English",29,"female","high","high_firefighter",19820,"1","0","0",0,"The fifth floor.","The fourth and sixth floors.","The fifth and second floors.","mo-h","ms-l","ms-h",0,1,0,1,1,0,1,0,1,0,0,0,0,0
"27","A2YVC1U50H2B4R","English",29,"female","low","low_pic",8408,"0","0","1",0,"Location F.","Locations A, D, E, and F.","Location A.","mo-l","exh","mo-h",1,1,1,0,0,0,1,0,1,0,0,0,0,0
