subject,native_lang,age,gender,trial,story,reaction_time,response_a,response_b,response_c,response_d,report_a,report_b,report_c,tag_a,tag_b,tag_c,exhaustive_seen,mention_one_high_seen,mention_one_low_seen,mention_some_high_seen,mention_some_low_seen,false_report_seen,none_of_above_seen,exhaustive_chosen,mention_one_high_chosen,mention_one_low_chosen,mention_some_high_chosen,mention_some_low_chosen,false_report_chosen,none_of_above_chosen
A2MM10557W7PLD,english,35,male,consent,NA,20046,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A2MM10557W7PLD,english,35,male,train,train_f,21653,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A2MM10557W7PLD,english,35,male,train,train_m,10681,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A2MM10557W7PLD,english,35,male,test,test_coffee,8449,0,0,1,0,Cafes D and E.,Cafes A and B.,Cafe E.,ms-l,ms-h,mo-l,0,0,1,1,1,0,1,0,0,1,0,0,0,0
A2MM10557W7PLD,english,35,male,test,test_yarn,18900,0,1,0,0,Stall E.,Stalls A and B.,Stalls D and E.,mo-l,ms-h,ms-l,0,0,1,1,1,0,1,0,0,0,1,0,0,0
A2MM10557W7PLD,english,35,male,control,control_how,4935,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,0,1,0,0,0,1,0,0,0
A2MM10557W7PLD,english,35,male,test,test_books,3910,0,0,1,0,Bookstore F.,Bookstore E.,"Bookstores A, B, C, D and E.",fa,mo-l,exh,1,0,1,0,0,0,1,1,0,0,0,0,0,0
A2MM10557W7PLD,english,35,male,test,test_hair,2766,0,1,0,0,Stylist A.,Stylists D and E.,Stylist E.,mo-h,ms-l,mo-l,0,1,1,0,1,0,1,0,0,0,0,1,0,0
A2MM10557W7PLD,english,35,male,control,control_why,3615,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,1,1,0,1,0,1,0,0,0,0,1,0,0
A2MM10557W7PLD,english,35,male,test,test_shoes,4791,1,0,0,0,Store A.,Store E.,Stores A and B.,mo-h,mo-l,ms-h,0,1,1,1,0,0,1,0,1,0,0,0,0,0
